time,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead
12.0,8766623746214,0.6666666666666666,0.3333333333333333,8772,843,80,112,60,0,0,0,14,0
12.0,8766623746247,1.0,0.3333333333333333,9292,521,47,57,25,0,0,0,10,0
12.0,8766623746280,0.0,0.6666666666666666,9189,651,68,96,55,1,0,0,18,0
12.0,8766623747597,0.3333333333333333,0.6666666666666666,8820,801,100,108,66,1,0,0,14,0
13.0,8766623767679,0.0,0.0,8552,1125,125,140,85,1,2,0,33,0
13.0,8766623740157,0.3333333333333333,0.0,8208,1338,156,212,94,1,1,0,36,0
13.0,8766623746082,0.6666666666666666,0.0,8330,1304,136,161,83,2,0,0,23,0
13.0,8766623746115,1.0,0.0,9071,807,103,104,56,0,0,0,13,0
13.0,8766623746148,0.0,0.3333333333333333,8220,1273,134,174,81,3,0,0,29,0
13.0,8766623746181,0.3333333333333333,0.3333333333333333,7967,1480,185,197,97,2,0,0,35,0
13.0,8766623746214,0.6666666666666666,0.3333333333333333,8074,1327,146,190,119,0,0,0,25,0
13.0,8766623746247,1.0,0.3333333333333333,8834,880,85,89,43,0,0,0,21,0
13.0,8766623746280,0.0,0.6666666666666666,8660,1026,117,162,83,2,0,0,28,0
13.0,8766623747597,0.3333333333333333,0.6666666666666666,8178,1256,170,172,104,2,0,0,28,0
14.0,8766623767679,0.0,0.0,7737,1683,210,226,149,2,3,0,53,0
14.0,8766623740157,0.3333333333333333,0.0,7165,2051,256,344,169,2,1,0,58,0
14.0,8766623746082,0.6666666666666666,0.0,7294,2074,225,254,152,2,0,0,38,0
14.0,8766623746115,1.0,0.0,8368,1340,154,170,101,1,0,0,20,0
14.0,8766623746148,0.0,0.3333333333333333,7172,2030,237,285,134,2,1,0,53,0
14.0,8766623746181,0.3333333333333333,0.3333333333333333,6760,2364,296,325,154,3,0,0,61,0
14.0,8766623746214,0.6666666666666666,0.3333333333333333,6994,2092,253,315,184,2,0,0,41,0
14.0,8766623746247,1.0,0.3333333333333333,8116,1394,160,165,87,0,0,0,30,0
14.0,8766623746280,0.0,0.6666666666666666,7851,1595,188,248,144,2,0,0,50,0
14.0,8766623747597,0.3333333333333333,0.6666666666666666,7258,1891,255,293,160,4,0,0,49,0
15.0,8766623767679,0.0,0.0,6557,2499,343,343,237,5,3,0,76,0
15.0,8766623740157,0.3333333333333333,0.0,5684,3069,417,512,262,6,1,0,95,0
15.0,8766623746082,0.6666666666666666,0.0,5854,3077,390,405,246,5,0,0,62,0
15.0,8766623746115,1.0,0.0,7267,2134,261,281,166,1,0,0,44,0
15.0,8766623746148,0.0,0.3333333333333333,5794,2918,387,489,236,2,1,0,87,0
15.0,8766623746181,0.3333333333333333,0.3333333333333333,5180,3443,457,496,285,7,0,0,95,0
15.0,8766623746214,0.6666666666666666,0.3333333333333333,5504,3054,432,506,293,3,1,0,88,0
15.0,8766623746247,1.0,0.3333333333333333,7042,2160,255,292,156,0,0,0,47,0
15.0,8766623746280,0.0,0.6666666666666666,6632,2442,308,402,213,4,0,0,77,0
15.0,8766623747597,0.3333333333333333,0.6666666666666666,5894,2822,399,455,253,3,0,0,84,0
16.0,8766623767679,0.0,0.0,4997,3464,557,582,338,10,3,0,112,0
16.0,8766623740157,0.3333333333333333,0.0,3894,4216,631,750,389,8,1,0,157,0
16.0,8766623746082,0.6666666666666666,0.0,4056,4215,600,672,370,11,0,0,115,0
16.0,8766623746115,1.0,0.0,5805,3133,415,431,288,2,0,0,80,0
